cluster	gene	specificity	avg_log2FC	pct.1	pct.2	p_val_adj
150	Cntn5	6.85289684296916	1.75273252587471	0.944	0.234	4.44402660654437e-33
151	Lhx2	47.2082169151765	1.19012311550865	0.704	0.008	0
151	Reln	27.4841654594955	2.48926064335381	0.796	0.063	4.19595544953289e-106
151	Rxfp1	26.8475463396912	1.10838494062945	0.426	0.008	6.95492254919692e-217
151	4930401C15Rik	25.1297193225944	0.859700924194018	0.37	0.003	0
151	Evx1os	24.487538489654	0.768236501636205	0.5	0.006	0
151	4930488N15Rik	21.3873762720326	0.964326144310648	0.611	0.018	7.98192613330454e-210
151	Fam163a	19.1548035317	1.18040806077703	0.704	0.034	3.69093326274423e-155
151	Tmem132c	19.0392771645808	1.98124457804013	0.778	0.072	9.48196253253479e-86
151	Gm13584	18.1492460910339	0.636815652316977	0.389	0.004	0
151	Maf	17.4530284518891	2.00823696302875	0.833	0.087	4.58617594410376e-81
151	Gm2694	15.282973862605	1.40735298878665	0.685	0.054	3.65687539869643e-89
151	Gm27016	14.8432021662208	1.19557707417888	0.648	0.043	4.97436214801487e-99
151	Rerg	14.7120414457888	2.11169278166127	0.833	0.111	3.66383332622368e-70
151	Gm10475	13.8762135490246	0.616068677652254	0.463	0.011	1.32434983345862e-186
151	Tafa1	13.6611116901498	3.47114397361493	0.907	0.223	8.37234286156582e-45
151	Stk32b	13.155769799167	0.902846947001655	0.5	0.025	2.09001259462051e-107
151	Ebf3	10.2858852015232	1.43977989772211	0.833	0.108	6.53530253130791e-61
151	Coch	10.2644067934628	0.768700068232894	0.444	0.024	2.27209490523147e-86
151	Galnt14	10.12815878522	1.49773984460222	0.815	0.112	2.30420891088023e-61
151	Il1rapl2	10.071291707997	2.15304999411242	0.556	0.111	8.13518861158967e-21
152	Foxp2	38.7618738839944	3.25166185711271	0.741	0.053	2.57166398899656e-111
152	Gata3	17.1655131297235	0.700633188968307	0.333	0.004	7.96344316545404e-293
152	Il1rapl2	16.5409461051897	3.12727262301243	0.63	0.111	2.25555747507698e-34
152	Tal1	10.5599808734544	0.554168092484489	0.333	0.008	2.55830886310876e-124
