p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	specificity
7.07888658120543e-31	0.833049860450473	0.796	0.28	2.28541853274217e-26	82	Chl1	2.31530409490718
1.28066673867744e-29	0.998587416164832	0.894	0.38	4.13463256582013e-25	82	Rbms3	2.314674421059
4.75561348112766e-32	0.809665490159867	0.77	0.263	1.53534981238207e-27	82	Sptbn4	2.31332997188534
5.10726472089509e-29	0.582201420776777	0.407	0.095	1.64888041514098e-24	82	Samd5	2.3121713567992
9.61812956410698e-32	0.954356058805132	0.885	0.36	3.10521312977194e-27	82	Snap91	2.30850992602863
7.73924459896239e-21	0.904155452678617	0.619	0.237	2.49861511877501e-16	82	Efna5	2.30248493819777
1.75151132347296e-32	0.721883479210926	0.655	0.201	5.65475430783246e-28	82	Chd5	2.27513039656524
1.38103197637173e-33	0.760398907711032	0.735	0.239	4.45866173571612e-29	82	Cep70	2.27508910138441
2.77566224021198e-29	0.942101441390069	0.894	0.365	8.96122554252439e-25	82	Nalcn	2.27109254137766
1.21389121027656e-33	0.87414551780382	0.903	0.343	3.91904777237789e-29	82	Kalrn	2.26089194831413
1.80131153887304e-31	0.698673347048538	0.664	0.199	5.81553430325162e-27	82	Nipal2	2.25313797086466
7.84258428603228e-18	0.838325348476905	0.46	0.165	2.53197833674552e-13	82	Sncaip	2.25150236448083
3.98488559220668e-32	0.660541602853494	0.602	0.171	1.28652031344393e-27	82	Sgsm1	2.23343348589137
1.3041846471591e-28	0.79816274936695	0.664	0.231	4.21056013335315e-24	82	Fhod3	2.232206195325
5.26608393852217e-25	0.778150476990435	0.628	0.213	1.70015519955188e-20	82	Grm8	2.22627804627757
4.56563225018948e-24	0.853166037577509	0.717	0.27	1.47401437197368e-19	82	D030068K23Rik	2.21518467613875
2.71212415295757e-27	0.923981222821028	0.858	0.354	8.75609282782352e-23	82	Sorbs2	2.20333983903476
9.27362096150759e-27	0.848369229994005	0.841	0.319	2.99398852742273e-22	82	Ryr2	2.19441402651945
8.75079259097751e-15	0.767628799772239	0.389	0.13	2.82519338799709e-10	82	Pard3bos1	2.18774207935088
